"TIME","NOTIFIED_IMPORT_COMM_EXPOSURE","NOTIFIED_IMPORT_ISOLATED","SPLINE"
18,1,0,4.98389638756048
19,3,0,3.77830583494904
20,3,0,2.86505815849288
21,3,0,2.17398149171533
22,5,0,1.65165278959218
23,1,0,1.25731661596611
24,0,0,0.959876950680324
25,0,0,0.735638887182044
26,1,0,0.566588988871757
27,0,0,0.439073138009616
28,0,0,0.342774664717368
29,0,0,0.269923430411325
30,5,0,0.214684606189055
31,0,0,0.172688033607258
32,0,0,0.140667634225611
33,0,0,0.116186705538838
34,0,0,0.0974299007241455
35,0,0,0.0830466551056478
36,0,0,0.0720340529398361
37,0,0,0.0636497590976684
38,0,0,0.0573477821217508
39,0,0,0.0527315620925546
40,2,0,0.049520264343667
41,0,0,0.0475252721967498
42,0,0,0.0466347725951628
43,0,0,0.0468050761769108
44,0,0,0.0480579652330494
45,0,0,0.0504839758047565
46,0,0,0.0542521542376615
47,0,0,0.0596275479453238
48,0,0,0.0669985730824063
49,0,0,0.0769175367697584
50,0,0,0.0901590848782008
51,0,0,0.107803314622893
52,1,0,0.131352850242504
53,0,0,0.162896406311905
54,0,0,0.205335229885631
55,0,0,0.262693065301349
56,1,0,0.340534237414153
57,0,0,0.446516686151225
58,1,0,0.591104764216891
59,2,0,0.788456183555781
60,0,0,1.05747261889106
61,3,0,1.42295621167198
62,5,0,1.91673596658375
63,3,0,2.57851231454239
64,1,0,3.45601630748902
65,1,0,4.60390955171137
66,5,0,6.08070619020617
67,4,1,7.94295759902966
68,13,0,10.2361149669993
69,10,0,12.9819960943948
70,8,0,16.1637104516281
71,8,0,19.7102000800908
72,4,0,23.4839873205928
73,23,0,27.2767911143264
74,28,0,30.8177142603555
75,63,0,33.7970963400326
76,69,1,35.9056624634625
77,42,1,36.8838223607399
78,21,0,36.5713002680464
79,34,1,34.9446442617624
80,48,2,32.1312496165912
81,33,9,28.3937991109804
82,18,0,24.0871537893542
83,21,5,19.5978946664156
84,7,4,15.2817486915667
85,15,6,11.4140252402488
86,3,6,8.16312152339176
87,4,3,5.58938329971773
88,1,2,3.664297936284
89,1,3,2.30068690237526
90,0,2,1.38412983929769
91,0,1,0.798460835939982
92,0,0,0.442063434795953
93,1,3,0.235156723021003
94,0,0,0.120350879379738
95,0,0,0.0593506121151069
96,0,0,0.0282511218034451
97,0,0,0.0130051093080295
98,0,0,0.00580193645516015
99,0,1,0.00251420915392019
100,0,0,0.00106086497361435
101,0,2,0.00043699600249348
102,0,0,0.000176215719826243
103,0,0,6.97606542110376e-05
104,0,0,2.71942009424376e-05
105,0,0,1.04710350333766e-05
106,0,0,3.99520181757281e-06
107,0,0,1.51546605439667e-06
108,0,0,5.73406450700887e-07
109,0,0,2.17149890074602e-07
110,0,0,8.25892883438862e-08
111,0,0,3.16554906961037e-08
112,0,0,1.22696052154577e-08
113,0,0,4.82566597609466e-09
114,0,0,1.93243528779802e-09
115,0,0,7.90550640452406e-10
116,0,0,3.31482602550974e-10
117,0,0,1.42920305708806e-10
118,0,0,6.35601806045492e-11
119,0,0,2.92444689538e-11
120,0,0,1.39613253394388e-11
121,0,0,6.93477191428778e-12
122,0,1,3.59330827334771e-12
123,0,0,1.9470544467377e-12
124,0,0,1.10579081362227e-12
125,0,0,6.59613817186102e-13
126,0,0,4.14052472016534e-13
127,0,0,2.73973979533177e-13
128,0,0,1.91381484786066e-13
129,0,0,1.41312774948531e-13
130,0,0,1.10410741224977e-13
131,0,0,9.13583433446648e-14
132,0,0,8.01032453277549e-14
133,0,0,7.44514666068757e-14
134,0,0,7.33620427978132e-14
135,0,0,7.66294405179445e-14
136,0,0,8.48192875673088e-14
137,0,0,9.94295113060518e-14
138,0,0,1.23340100461991e-13
139,0,0,1.61737049321653e-13
140,0,0,2.23914594476061e-13
141,0,0,3.26798895724884e-13
142,0,0,5.0196213850983e-13
143,0,0,8.09903469589457e-13
144,0,0,1.36982136560402e-12
145,0,0,2.42315119937319e-12
146,0,0,4.47225203111556e-12
147,0,0,8.58964583940956e-12
148,0,0,1.71213360561159e-11
149,0,0,3.53155012126079e-11
150,0,0,7.51550179064377e-11
151,0,0,1.6450109060416e-10
152,0,0,3.69157021641806e-10
153,0,0,8.4657401107377e-10
154,0,0,1.97734844362108e-09
155,0,0,4.68812112459983e-09
156,0,0,1.12442697170368e-08
157,0,0,2.71890082923941e-08
158,0,0,6.60538626301684e-08
159,0,0,1.60681474276528e-07
160,0,0,3.90058504583481e-07
161,0,0,9.41767854002663e-07
162,0,1,2.25417995708843e-06
163,0,0,5.33184184619007e-06
164,0,0,1.24240215581397e-05
165,0,0,2.84341671122287e-05
166,0,0,6.37323169643212e-05
167,0,0,0.000139515665043963
168,0,0,0.000297504936438149
169,0,0,0.000616456614971905
170,0,0,0.00123835978242759
171,0,2,0.00240657588146563
172,1,4,0.00451554542930619
173,0,4,0.00816598544660894
174,0,0,0.0142104388576701
175,0,8,0.0237632002651963
176,0,5,0.0381404741687644
177,0,0,0.058698186437197
178,3,3,0.086553360277182
179,0,0,0.122212908263357
180,0,0,0.165183800524391
181,0,1,0.21368208333023
182,0,3,0.264570244547513
183,0,0,0.313614212426454
184,0,0,0.356063886701363
185,0,6,0.38745128198074
186,0,5,0.404412188155151
187,0,0,0.405311485447091
188,0,10,0.39050455491699
189,0,2,0.362178479757193
190,0,3,0.323842116943428
191,0,5,0.2796255120912
192,0,4,0.233577515971507
193,0,5,0.189116214075803
194,0,8,0.148714216328593
195,0,5,0.113822838631984
196,0,6,0.0849818541452295
197,0,15,0.0620359697583375
198,0,1,0.044382402982278
199,0,2,0.031194654679875
200,0,3,0.0215934148281466
201,0,5,0.0147575964913418
202,1,2,0.00998275923862366
203,0,5,0.00670060898884396
204,0,14,0.00447393595970359
205,0,4,0.00297885798892706
206,0,2,0.00198267483509613
207,0,6,0.00132230368705301
208,0,9,0.000885726456915401
209,0,5,0.000597223614633999
210,0,4,0.000406245528926323
211,0,13,0.000279357681627695
212,0,3,0.000194587973147279
213,0,12,0.000137553228789721
214,0,2,9.88532102421455e-05
215,0,4,7.23416416538089e-05
216,0,0,5.39908052854366e-05
217,0,4,4.11512312756788e-05
218,0,4,3.20711515863749e-05
219,0,2,2.55852549971197e-05
220,0,7,2.09131536861516e-05
221,0,21,1.75287255708839e-05
222,0,8,1.50752094449053e-05
223,0,11,1.3309881597753e-05
224,0,12,1.20679370505135e-05
225,0,5,1.12389329244967e-05
226,0,1,1.07515561018646e-05
227,0,10,1.05640324617043e-05
228,0,2,1.06585137461961e-05
229,1,13,1.10384641199514e-05
230,0,8,1.17285562691369e-05
231,0,8,1.27769685200606e-05
232,0,2,1.42603169330341e-05
233,0,0,1.62918151504145e-05
234,0,4,1.90336823835023e-05
235,0,4,2.27153731242595e-05
236,0,3,2.76599487413144e-05
237,0,6,3.43219344632435e-05
238,0,9,4.33414082539128e-05
239,0,9,5.56209740217648e-05
240,0,2,7.24348188883173e-05
241,0,13,9.55823808450371e-05
242,0,6,0.000127603365209126
243,0,20,0.000172075960002512
244,0,9,0.000234025945304776
245,0,1,0.000320480479590891
246,0,2,0.000441205692514608
247,0,5,0.000609670118291544
248,0,1,0.000844273867026328
249,0,4,0.0011698726362099
250,0,4,0.00161960169516427
251,0,0,0.00223696294200506
252,0,3,0.00307807378265271
253,0,8,0.00421388812257297
254,0,2,0.00573209014332104
255,0,4,0.0077382410973683
256,0,5,0.0103556480384622
257,0,4,0.0137233509434253
258,0,2,0.017991628881085
259,0,11,0.0233145448652762
