"DAY","PROB_ISOLATE_NB","PROB_ISOLATE_POISSON"
0,0.0611912991511261,0.00296523271394431
1,0.0952509296940304,0.0172600265817005
2,0.109024919159853,0.0502335813644678
3,0.109817914199215,0.0974665434708733
4,0.103075816933495,0.141833314061883
5,0.0925008994849954,0.165116670901854
6,0.0804701992130865,0.160185186334384
7,0.0684254611833593,0.133200847519337
8,0.0571767375470235,0.0969169366571661
9,0.047122876067277,0.0626815672118041
10,0.0384054308710011,0.0364856866434363
11,0.0310129672275079,0.0193068986198826
12,0.0248498439776048,0.00936513295742032
13,0.0197802428987472,0.00419327430151781
14,0.0156553330919392,0.00174344364677164
15,0.0123291902471143,0.000676549118623193
16,0.00966739161199586,0.000246128569360443
17,0.00755097279887853,8.42744221508388e-05
18,0.00587755429386044,2.72524753592342e-05
19,0.0045608313920402,8.34901097760325e-06
20,0.00352919834761727,2.42989615497422e-06
21,0.00272399060823296,6.73520930437141e-07
