"DAY","GEN_INTERVAL"
0,0
1,0.00324519082619177
2,0.0247304348420377
3,0.0619755637153472
4,0.0985048955482847
5,0.121993987292806
6,0.129027147682611
7,0.122384487851658
8,0.107189680096633
9,0.0883362436246167
10,0.0693854061935722
11,0.0524231806729083
12,0.0383570637691871
13,0.0273191586031408
14,0.019016263279304
15,0.0129776203112006
16,0.00870535188054549
17,0.0057518343495518
18,0.00374978901261767
19,0.00241555732090331
20,0.00153946772612911
21,0.000971675400753196
